Date,Num_Faces,angry,disgust,fear,happy,sad,surprise,neutral
09 Feb 2024 12:18:17,1,0,0,0,0,0,0,1
09 Feb 2024 12:18:17,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:17,2,0,0,1,0,1,0,0
09 Feb 2024 12:18:18,2,0,0,1,0,1,0,0
09 Feb 2024 12:18:18,2,0,0,1,0,0,0,1
09 Feb 2024 12:18:18,1,0,0,0,0,0,1,0
09 Feb 2024 12:18:18,1,0,0,0,0,0,1,0
09 Feb 2024 12:18:18,1,1,0,0,0,0,0,0
09 Feb 2024 12:18:18,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:19,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:19,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:19,1,1,0,0,0,0,0,0
09 Feb 2024 12:18:19,2,0,0,1,0,0,0,1
09 Feb 2024 12:18:19,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:19,2,0,0,0,0,2,0,0
09 Feb 2024 12:18:20,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:20,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:20,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:20,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:20,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:20,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:20,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:21,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:21,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:21,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:21,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:21,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:21,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:21,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:22,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:22,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:22,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:22,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:22,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:22,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:23,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:23,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:23,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:23,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:23,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:23,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:23,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:24,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:24,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:24,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:24,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:24,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:24,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:24,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:24,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:25,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:25,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:25,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:25,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:25,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:25,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:25,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:26,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:26,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:26,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:26,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:26,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:26,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:27,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:27,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:27,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:27,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:27,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:27,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:27,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:28,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:28,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:28,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:28,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:28,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:28,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:28,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:29,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:29,2,0,0,1,0,0,0,1
09 Feb 2024 12:18:29,2,1,0,0,0,0,0,1
09 Feb 2024 12:18:29,1,1,0,0,0,0,0,0
09 Feb 2024 12:18:29,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:30,1,1,0,0,0,0,0,0
09 Feb 2024 12:18:30,1,1,0,0,0,0,0,0
09 Feb 2024 12:18:30,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:30,1,0,0,0,0,0,0,1
09 Feb 2024 12:18:30,2,0,0,0,0,1,0,1
09 Feb 2024 12:18:31,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:31,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:31,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:31,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:31,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:31,1,0,0,0,0,1,0,0
09 Feb 2024 12:18:31,0,0,0,0,0,0,0,0
09 Feb 2024 12:18:32,1,0,0,1,0,0,0,0
09 Feb 2024 12:18:32,0,0,0,0,0,0,0,0
09 Feb 2024 12:18:32,0,0,0,0,0,0,0,0
09 Feb 2024 12:18:32,1,0,0,0,1,0,0,0
09 Feb 2024 12:18:32,5,0,0,0,3,1,0,1
09 Feb 2024 12:18:33,4,0,0,1,3,0,0,0
09 Feb 2024 12:18:33,4,0,0,1,2,1,0,0
09 Feb 2024 12:18:33,4,0,0,1,2,1,0,0
09 Feb 2024 12:18:34,4,0,0,2,2,0,0,0
09 Feb 2024 12:18:34,3,0,0,1,2,0,0,0
09 Feb 2024 12:18:34,3,0,0,0,3,0,0,0
